kommunkod,kommunnamn,lanskod,lansnamn,facilities,operators
180,Stockholm,01,Stockholms län,33,15
2180,Gävle,21,Gävleborgs län,12,1
1480,Göteborg,14,Västra Götalands län,7,6
2181,Sandviken,21,Gävleborgs län,5,1
1280,Malmö,12,Skåne län,4,4
163,Sollentuna,01,Stockholms län,4,4
184,Solna,01,Stockholms län,4,3
2582,Boden,25,Norrbottens län,3,2
484,Eskilstuna,04,Södermanlands län,2,2
126,Huddinge,01,Stockholms län,2,2
1281,Lund,12,Skåne län,2,2
2581,Piteå,25,Norrbottens län,2,2
114,Upplands Väsby,01,Stockholms län,2,1
1980,Västerås,19,Västmanlands län,2,2
2081,Borlänge,20,Dalarnas län,1,1
1490,Borås,14,Västra Götalands län,1,1
1285,Eslöv,12,Skåne län,1,1
1382,Falkenberg,13,Hallands län,1,1
2080,Falun,20,Dalarnas län,1,1
136,Haninge,01,Stockholms län,1,1
2184,Hudiksvall,21,Gävleborgs län,1,1
2510,Jokkmokk,25,Norrbottens län,1,1
123,Järfälla,01,Stockholms län,1,1
680,Jönköping,06,Jönköpings län,1,1
1082,Karlshamn,10,Blekinge län,1,1
1080,Karlskrona,10,Blekinge län,1,1
483,Katrineholm,04,Södermanlands län,1,1
1482,Kungälv,14,Västra Götalands län,1,1
2029,Leksand,20,Dalarnas län,1,1
1494,Lidköping,14,Västra Götalands län,1,1
580,Linköping,05,Östergötlands län,1,1
2580,Luleå,25,Norrbottens län,1,1
2481,Lycksele,24,Västerbottens län,1,1
581,Norrköping,05,Östergötlands län,1,1
1402,Partille,14,Västra Götalands län,1,1
191,Sigtuna,01,Stockholms län,1,1
2482,Skellefteå,24,Västerbottens län,1,1
1496,Skövde,14,Västra Götalands län,1,1
2283,Sollefteå,22,Västernorrlands län,1,1
1230,Staffanstorp,12,Skåne län,1,1
486,Strängnäs,04,Södermanlands län,1,1
115,Vallentuna,01,Stockholms län,1,1
780,Växjö,07,Kronobergs län,1,1
2260,Ånge,22,Västernorrlands län,1,1
